year,quarter,month,Value_padd1,Value_padd2,Value_padd3,Value_padd4,Value_padd5,total_us_refinery_net_input
2016,1,1,1137,3724,8146,575,2370,15952
2016,1,2,1093,3627,8269,575,2279,15843
2016,1,3,1061,3409,8643,583,2387,16083
2016,2,4,1158,3334,8468,514,2447,15921
2016,2,5,1184,3607,8565,575,2306,16237
2016,2,6,1126,3683,8579,647,2399,16434
2016,3,7,1061,3723,8719,631,2486,16620
2016,3,8,1098,3746,8605,612,2533,16594
2016,3,9,1108,3624,8497,644,2467,16340
2016,4,10,1091,3577,8108,592,2086,15454
2016,4,11,1118,3674,8650,626,2167,16235
2016,4,12,1063,3714,8879,602,2258,16516
2017,1,1,1050,3722,8387,613,2346,16118
2017,1,2,902,3628,8178,590,2194,15492
2017,1,3,891,3698,8502,606,2351,16048
2017,2,4,1062,3801,8925,648,2519,16955
2017,2,5,1111,3819,9297,617,2379,17223
2017,2,6,1129,3910,9181,611,2373,17204
2017,3,7,1078,3859,9226,650,2503,17316
2017,3,8,1140,3981,8611,656,2593,16981
2017,3,9,1106,3699,7437,671,2548,15461
2017,4,10,1096,3411,8656,624,2274,16061
2017,4,11,1160,3735,8947,582,2415,16839
2017,4,12,1116,3818,9220,597,2523,17274
2018,1,1,1068,3736,8772,630,2393,16599
2018,1,2,968,3638,8294,655,2382,15937
2018,1,3,920,3706,8871,615,2554,16666
2018,2,4,1110,3905,8866,574,2311,16766
2018,2,5,1157,4045,8862,586,2319,16969
2018,2,6,1128,3979,9273,649,2637,17666
2018,3,7,1139,3892,9088,642,2596,17357
2018,3,8,1068,3995,9350,609,2601,17623
2018,3,9,1003,3647,9126,656,2558,16990
2018,4,10,922,3240,9229,636,2385,16412
2018,4,11,1008,3820,9251,579,2504,17162
2018,4,12,1048,3931,9375,613,2443,17410
2019,1,1,1013,3879,8858,633,2400,16783
2019,1,2,776,3527,8591,605,2348,15847
2019,1,3,913,3535,8520,608,2359,15935
2019,2,4,1029,3743,8792,569,2208,16341
2019,2,5,1087,3530,9061,659,2382,16719
2019,2,6,1035,3917,9126,677,2481,17236
2019,3,7,887,4083,9006,687,2511,17174
2019,3,8,846,4106,9103,692,2550,17297
2019,3,9,819,3888,8701,639,2356,16403
2019,4,10,730,3653,8339,544,2414,15680
2019,4,11,799,3823,8856,591,2413,16482
2019,4,12,804,3927,9001,646,2415,16793
2020,1,1,767,3792,8792,623,2255,16229
2020,1,2,689,3753,8391,623,2409,15865
2020,1,3,637,3440,8443,551,2160,15231
2020,2,4,527,2914,7238,441,1652,12772
2020,2,5,598,3091,7140,486,1654,12969
2020,2,6,606,3322,7478,577,1752,13735
2020,3,7,523,3594,7765,611,1840,14333
2020,3,8,599,3665,7377,595,1916,14152
2020,3,9,548,3507,7000,586,1932,13573
2020,4,10,570,3432,7049,532,1863,13446
2020,4,11,591,3503,7601,552,1877,14124
2020,4,12,592,3427,7751,547,1823,14140
2021,1,1,597,3628,7919,559,1822,14525
2021,1,2,592,3297,6042,580,1863,12374
2021,1,3,677,3617,7512,557,2020,14383
2021,2,4,630,3454,8469,531,2076,15160
2021,2,5,699,3730,8490,537,2138,15594
2021,2,6,717,4069,8607,554,2243,16190
